n backests overests
1 -0.23902661441160148707668884774600525097343866693189276050888739075803935816199974704120969836788955657025156614379640491981759817468891623143044473285372414886978233767156000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.23902661441160148707668884774600525097343866693189276050888739075803935816199974704120969836788955657025156614379640491981759817468891623143044473285372414886978233767156000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2 -0.10259460516486036650516129563306352434838030161100325619876354294375312428816670766715901124570409671930392889872315329704244221504918375227622906620174033896467883172311000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.45495352703167977306947833155215362721863141955797714829007758837620242272641437767739262033172858689875740276039906609998486527065664233660164491235854201539722914512665000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3 -0.02214904103496138293451105656076261391742855184116658771044152896285237856616456554713718717678812899616701743095278556021717030691339681247180182772166443064891789517806400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.48819832007955086618684427014901315448675372420213636494622790719834159194474607088721109510032126191949116746328342576150650488337664969267926517624490321656487696402490000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4 -0.00227481066108993357498772988662308135789507918711266418979411996857376365948442524960226923933610351721468565164112236028925075498901523140338433093848026570954191657100550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.51473493792035926131513050776467883586274158391946886948172312925857530357506241903316529906851090172753506149308756376857015892909944558690769589100611658603862208563518000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5 0.02122869629066543278925171124810158243514749848617188917933553081275214943854603316940045167690134460681162914866053562300859589830090375714884370751953953341130688517844200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.60013043020901394374350532560802551621875073254538811416338659886157849026347465815185501447344257551334468262363369886697624499767293696461142149861457575427331331428695000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6 0.02847907381287127375862707880719943064703966273844872461900384524563440823520561119173043983519789360894885595178799094555305200377277447543219938367430513445227734658268700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.70627952832298371105471314043122694741365836903529717222170391762587845342957814038972607024667843164484190617240197644012115242309268064382799967587953804984966978684012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7 0.02997328953154454226492640299755808775540291601901575711196457711428555700511153346040892917135881248715007651279704430136891459075880963700265085673393292942915609881316300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.80479409469486867968764822313469414130048326172687382662497105493081536352828219738401867974581587915435547693123146595013665376372108204196380573438764630152996794648927000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8 0.03046779890866550600834824757397618092229430818810892851780939953377602346855305010548441056413350578573204008199010639869325199331848972205882813775763991081737397051772600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.81718386138957338834231739098088969910660570640612706690990481493225492231028185363098449444003181739720075842338778882321163978874041929473214557192344825039336159901654000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9 0.04080731295160728804416040685576724355689508868305644190481737684455832396076408918480145740410125022900694271460163186322161569982650755432825503335632002913820391088731100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.87184820858814347230685775224630243883422073599624548741384577614714956538067533262377572518256294576452603218560873294498229692678747748671641451290070034002663859213874000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10 0.04825705164197604112946147638312938111159048501421172073470110602457834876296466402293798829869869264427159178330971552355462800759434543488214545973258358629479261144239100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.92439499495817274735660481969242046248826362504984947241214183093171705819107926127856820450133377935940070478819354277043719671933005189412600696437675096870761416600260000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11 0.04907727722944844779089233014577419699626022457273596950096258778350481384915395516725475252937053939367818447417249617398703210036091316969442398101558624944174590443307500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 -0.94129130639212984013877308561621666163848351037787905615882283454829355220272542853610407579787898689893603706308964271501968383286938479222641801445207642523071416797555000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
